,Unnamed: 0,node,ethcat,agecat,treat,Trade_sex,Group_sex,degree,age.gp1,age.gp2,age.gp3,age.gp4,black,white,other,Tr,NoTr,Trade,NoTrade,Group,NoGroup
0,1,1,black,age.gp3,NoTr,Trade,NoGroup,6,0,3,2,1,1,5,0,2,4,1,5,4,2
970,971,971,white,age.gp2,Tr,NoTrade,Group,26,1,13,8,4,4,20,2,6,20,6,20,16,10
2411,2412,2412,white,age.gp3,NoTr,Trade,Group,12,4,3,3,2,3,8,1,6,6,3,9,4,8
2694,2695,2695,white,age.gp4,NoTr,NoTrade,Group,14,0,1,5,8,2,12,0,6,8,1,13,8,6
2729,2730,2730,black,age.gp3,NoTr,NoTrade,NoGroup,8,1,4,1,2,7,0,1,0,8,1,7,2,6
2840,2841,2841,white,age.gp2,Tr,NoTrade,Group,31,3,15,6,7,4,24,3,6,25,4,27,15,16
2964,2965,2965,white,age.gp2,NoTr,NoTrade,NoGroup,12,0,5,4,3,2,9,1,5,7,1,11,7,5
1,2,2,black,age.gp3,NoTr,Trade,NoGroup,8,0,4,2,2,4,2,2,3,5,2,6,4,4
212,213,213,other,age.gp2,Tr,NoTrade,NoGroup,3,2,0,1,0,1,2,0,1,2,1,2,0,3
223,224,224,black,age.gp2,NoTr,NoTrade,NoGroup,9,1,4,2,2,5,4,0,1,8,2,7,6,3
2212,2213,2213,black,age.gp4,NoTr,Trade,Group,8,0,3,2,3,5,3,0,3,5,1,7,4,4
2217,2218,2218,black,age.gp4,NoTr,Trade,Group,9,0,2,2,5,5,4,0,2,7,3,6,6,3
2288,2289,2289,other,age.gp2,Tr,NoTrade,Group,12,2,4,5,1,3,9,0,4,8,2,10,6,6
2363,2364,2364,white,age.gp3,Tr,NoTrade,NoGroup,8,1,4,3,0,3,4,1,2,6,3,5,4,4
2658,2659,2659,white,age.gp2,NoTr,NoTrade,Group,29,1,15,7,6,5,22,2,11,18,1,28,15,14
2690,2691,2691,black,age.gp3,NoTr,NoTrade,NoGroup,3,1,0,1,1,2,1,0,0,3,1,2,1,2
2,3,3,black,age.gp3,NoTr,Trade,NoGroup,9,0,3,2,4,5,4,0,3,6,1,8,3,6
17,18,18,black,age.gp2,Tr,NoTrade,Group,17,2,5,6,4,9,5,3,4,13,2,15,10,7
239,240,240,white,age.gp2,Tr,NoTrade,Group,20,2,10,4,4,4,11,5,7,13,3,17,10,10
517,518,518,black,age.gp3,NoTr,NoTrade,NoGroup,8,2,1,3,2,7,1,0,2,6,1,7,2,6
1270,1271,1271,black,age.gp3,NoTr,NoTrade,NoGroup,5,0,0,2,3,3,2,0,1,4,2,3,2,3
1482,1483,1483,white,age.gp4,NoTr,NoTrade,NoGroup,4,0,1,3,0,1,3,0,1,3,1,3,1,3
1528,1529,1529,black,age.gp4,NoTr,NoTrade,NoGroup,5,0,0,1,4,3,2,0,0,5,1,4,3,2
1696,1697,1697,white,age.gp4,NoTr,Trade,NoGroup,9,0,2,3,4,1,7,1,4,5,1,8,4,5
2269,2270,2270,white,age.gp4,Tr,NoTrade,Group,11,0,3,2,6,1,9,1,3,8,2,9,7,4
2836,2837,2837,black,age.gp2,NoTr,NoTrade,NoGroup,13,0,5,5,3,7,5,1,4,9,1,12,5,8
3,4,4,black,age.gp3,NoTr,Trade,NoGroup,5,0,1,2,2,2,2,1,1,4,0,5,3,2
1367,1368,1368,black,age.gp4,NoTr,NoTrade,Group,5,0,0,2,3,2,3,0,1,4,1,4,3,2
2050,2051,2051,white,age.gp4,Tr,NoTrade,Group,11,2,2,1,6,1,10,0,2,9,1,10,7,4
