"","V1","V2"
"1",1,971
"2",1,2412
"3",1,2695
"4",1,2730
"5",1,2841
"6",1,2965
"7",2,213
"8",2,224
"9",2,2213
"10",2,2218
"11",2,2289
"12",2,2364
"13",2,2659
"14",2,2691
"15",3,18
"16",3,240
"17",3,518
"18",3,1271
"19",3,1483
"20",3,1529
"21",3,1697
"22",3,2270
"23",3,2837
"24",4,1368
"25",4,2051
"26",4,2132
"27",4,2159
"28",4,2686
"29",5,103
"30",5,458
"31",6,55
"32",6,343
"33",6,1378
"34",6,1724
"35",6,1816
"36",6,2293
"37",6,2749
"38",6,2797
"39",7,291
"40",7,399
"41",7,964
"42",7,1392
"43",7,1845
"44",7,2164
"45",7,2348
"46",7,2606
"47",8,2732
"48",9,17
"49",9,453
"50",9,485
"51",9,1250
"52",9,1374
"53",9,1418
"54",9,2076
"55",9,2236
"56",9,2366
"57",9,2595
"58",9,2848
"59",10,82
"60",10,103
"61",10,2367
"62",10,2402
"63",11,17
"64",11,395
"65",11,700
"66",11,2003
"67",11,2005
"68",11,2027
"69",11,2069
"70",11,2460
"71",11,2846
"72",12,447
"73",12,1370
"74",12,2865
"75",13,703
"76",13,1479
"77",13,1764
"78",13,1844
"79",13,1868
"80",13,2278
"81",14,383
"82",14,869
"83",14,1061
"84",14,1063
"85",14,1292
"86",14,1327
"87",14,1364
"88",14,1948
"89",14,2347
"90",15,56
"91",15,58
"92",15,86
"93",15,103
"94",15,228
"95",15,237
"96",15,497
"97",15,521
"98",15,963
"99",15,969
"100",15,1475
"101",15,2207
"102",15,2391
"103",15,2393
"104",15,2413
"105",15,2517
"106",15,2724
"107",15,2729
"108",15,2882
"109",16,17
"110",16,149
"111",16,295
"112",16,300
"113",16,465
"114",16,471
"115",16,475
"116",16,709
"117",16,710
"118",16,743
"119",16,965
"120",16,1042
"121",16,1105
"122",16,1526
"123",16,1809
"124",16,1926
"125",16,2007
"126",16,2080
"127",16,2109
"128",16,2139
"129",16,2210
"130",16,2264
"131",16,2392
"132",16,2408
"133",16,2564
"134",16,2596
"135",16,2682
"136",16,2842
"137",16,2847
"138",17,54
"139",17,99
"140",17,346
"141",17,632
"142",17,710
"143",17,886
"144",17,1323
"145",17,1363
"146",17,1378
"147",17,1555
"148",17,1598
"149",17,1668
"150",17,1831
"151",17,1905
"152",17,1931
"153",17,2038
"154",17,2089
"155",17,2165
"156",17,2369
"157",17,2459
"158",17,2462
"159",17,2607
"160",17,2732
"161",18,227
"162",18,297
"163",18,635
"164",18,664
"165",18,682
"166",18,1261
"167",18,1350
"168",18,1386
"169",18,1762
"170",18,2070
"171",18,2174
"172",18,2298
"173",18,2368
"174",18,2480
"175",18,2687
"176",18,2855
"177",19,294
"178",19,465
"179",19,475
"180",19,664
"181",19,933
"182",19,1051
"183",19,1347
"184",19,1359
"185",19,1376
"186",19,1395
"187",19,1711
"188",19,1853
"189",19,1948
"190",19,2092
"191",19,2106
"192",19,2209
"193",19,2230
"194",19,2601
"195",19,2706
"196",20,1364
"197",21,1097
"198",22,683
"199",22,830
"200",22,1369
"201",22,1666
"202",23,487
"203",24,230
"204",25,1426
"205",25,1801
"206",25,2058
"207",27,163
"208",27,350
"209",27,1834
"210",27,2239
"211",28,1058
"212",28,1730
"213",28,1755
"214",28,2281
"215",28,2854
"216",29,2582
"217",30,1595
"218",30,2212
"219",30,2936
"220",31,448
"221",31,2927
"222",33,294
"223",33,2054
"224",33,2743
"225",34,852
"226",34,1044
"227",34,1051
"228",35,838
"229",35,1291
"230",36,48
"231",36,283
"232",36,390
"233",36,739
"234",36,967
"235",36,1271
"236",37,2331
"237",38,1906
"238",38,2350
"239",39,484
"240",40,1349
"241",40,1839
"242",40,1939
"243",41,472
"244",41,2933
"245",42,2243
"246",43,86
"247",43,1049
"248",43,1355
"249",43,1953
"250",44,283
"251",44,1617
"252",44,1742
"253",44,1961
"254",44,2095
"255",44,2348
"256",45,1251
"257",45,2004
"258",45,2934
"259",46,228
"260",46,239
"261",46,364
"262",46,484
"263",46,1665
"264",46,2208
"265",47,2945
"266",48,248
"267",48,1838
"268",48,1857
"269",49,1475
"270",50,142
"271",50,143
"272",50,342
"273",50,636
"274",50,711
"275",50,843
"276",50,858
"277",50,874
"278",50,898
"279",50,954
"280",50,1326
"281",50,1420
"282",50,1573
"283",50,1848
"284",50,1961
"285",50,2044
"286",50,2069
"287",50,2074
"288",50,2211
"289",50,2244
"290",50,2258
"291",50,2386
"292",50,2416
"293",50,2741
"294",50,2757
"295",50,2872
"296",50,2974
"297",51,735
"298",51,823
"299",51,840
"300",51,1019
"301",51,1550
"302",51,1664
"303",51,1750
"304",51,2046
"305",51,2069
"306",51,2131
"307",51,2416
"308",51,2476
"309",51,2478
"310",51,2745
"311",51,2839
"312",51,2960
"313",52,54
"314",52,791
"315",52,1009
"316",52,1098
"317",52,1259
"318",52,1408
"319",52,1548
"320",52,1566
"321",52,1584
"322",52,1621
"323",52,1721
"324",52,1889
"325",52,2193
"326",52,2291
"327",52,2323
"328",52,2521
"329",52,2599
"330",52,2602
"331",52,2625
"332",52,2707
"333",52,2783
"334",52,2817
"335",52,2924
"336",52,2947
"337",52,2961
"338",53,74
"339",53,96
"340",53,187
"341",53,345
"342",53,490
"343",53,523
"344",53,952
"345",53,953
"346",53,1058
"347",53,1382
"348",53,1557
"349",53,1712
"350",53,1780
"351",53,1869
"352",53,1876
"353",53,1969
"354",53,2110
"355",53,2315
"356",53,2342
"357",53,2407
"358",53,2608
"359",53,2670
"360",53,2720
"361",53,2774
"362",54,185
"363",54,343
"364",54,838
"365",54,857
"366",54,951
"367",54,953
"368",54,957
"369",54,1022
"370",54,1243
"371",54,1323
"372",54,1430
"373",54,1456
"374",54,1561
"375",54,1599
"376",54,1621
"377",54,1627
"378",54,2065
"379",54,2103
"380",54,2153
"381",54,2280
"382",54,2284
"383",54,2302
"384",54,2319
"385",54,2330
"386",54,2349
"387",54,2630
"388",54,2643
"389",54,2976
"390",55,780
"391",55,1304
"392",55,1412
"393",55,1634
"394",55,1836
"395",55,2167
"396",56,128
"397",56,366
"398",56,469
"399",56,2736
"400",56,2957
"401",57,138
"402",57,293
"403",57,950
"404",57,1380
"405",57,1477
"406",57,2107
"407",57,2469
"408",57,2510
"409",57,2609
"410",57,2837
"411",58,1378
"412",58,2609
"413",58,2672
"414",59,789
"415",59,1097
"416",59,2278
"417",60,77
"418",60,931
"419",60,1042
"420",60,1072
"421",60,1773
"422",60,1970
"423",60,2029
"424",61,71
"425",61,296
"426",61,696
"427",61,1401
"428",61,1429
"429",61,1949
"430",61,2349
"431",61,2468
"432",61,2609
"433",62,175
"434",62,261
"435",62,265
"436",62,297
"437",62,323
"438",62,604
"439",62,1077
"440",62,1382
"441",62,1461
"442",62,1511
"443",62,1576
"444",62,1727
"445",62,2228
"446",62,2338
"447",62,2579
"448",62,2770
"449",62,2872
"450",63,407
"451",63,808
"452",63,1046
"453",63,1163
"454",63,1623
"455",63,1724
"456",63,1948
"457",63,2571
"458",63,2633
"459",63,2707
"460",63,2727
"461",64,215
"462",64,242
"463",64,955
"464",64,1420
"465",64,1576
"466",64,1802
"467",64,2124
"468",64,2171
"469",64,2417
"470",64,2562
"471",64,2973
"472",65,73
"473",65,144
"474",65,158
"475",65,444
"476",65,1279
"477",65,1426
"478",65,1710
"479",65,1802
"480",65,1858
"481",65,2104
"482",65,2161
"483",65,2340
"484",65,2951
"485",65,2971
"486",66,1282
"487",66,1567
"488",66,1849
"489",66,2015
"490",66,2333
"491",66,2677
"492",66,2841
"493",67,296
"494",67,686
"495",67,762
"496",67,877
"497",67,1189
"498",67,1434
"499",67,1590
"500",67,2006
"501",67,2025
"502",67,2579
"503",67,2676
"504",67,2758
"505",68,93
"506",68,1025
"507",68,1291
"508",68,1767
"509",68,2069
"510",68,2243
"511",68,2713
