,node,treat,degree,size_comm_tr,size_comm_no_tr,old_label,type_comm_tr,type_comm_no_tr
0,1,NoTr,6,2478,2577,1,large,large
1,2,Tr,26,2478,2577,2,large,large
2,3,NoTr,12,2478,2577,3,large,large
3,4,NoTr,14,2478,2577,4,large,large
4,5,NoTr,8,2478,2577,5,large,large
5,6,Tr,31,2478,2577,6,large,large
6,7,NoTr,12,2478,2577,7,large,large
7,8,Tr,26,2478,2577,863,large,large
8,9,Tr,20,2478,2577,2078,large,large
9,10,NoTr,8,2478,2577,1154,large,large
10,11,NoTr,14,2478,2577,1588,large,large
11,12,NoTr,9,2478,2577,2561,large,large
12,13,Tr,4,1,2577,2575,small,large
13,14,NoTr,1,1,1,2654,small,small
14,15,NoTr,15,2478,2577,451,large,large
15,16,Tr,10,2478,2577,1428,large,large
16,17,NoTr,21,2478,2577,1017,large,large
17,18,NoTr,24,2478,2577,1196,large,large
18,19,NoTr,18,2478,2577,526,large,large
19,20,NoTr,16,2478,2577,180,large,large
20,21,Tr,26,2478,2577,377,large,large
21,22,NoTr,26,2478,2577,52,large,large
22,23,NoTr,12,2478,2577,1171,large,large
23,24,NoTr,19,2478,2577,116,large,large
24,25,NoTr,14,2478,2577,476,large,large
25,26,NoTr,17,2478,2577,977,large,large
26,27,NoTr,22,2478,2577,1615,large,large
27,28,NoTr,10,2478,2577,427,large,large
28,29,NoTr,11,2478,2577,2632,large,large
29,30,Tr,7,2478,2577,44,large,large
30,31,NoTr,7,2478,2577,1542,large,large
31,32,NoTr,6,2478,2577,1060,large,large
32,33,NoTr,4,2478,2577,2016,large,large
33,34,Tr,9,2478,2577,1617,large,large
34,35,NoTr,15,2478,2577,983,large,large
35,36,NoTr,7,2478,2577,2224,large,large
36,37,Tr,18,2478,2577,571,large,large
37,38,NoTr,21,2478,2577,818,large,large
38,39,Tr,11,2478,2577,2141,large,large
39,40,Tr,13,2478,2577,455,large,large
40,41,Tr,21,2478,2577,239,large,large
41,42,NoTr,2,2478,2577,2688,large,large
42,43,Tr,35,2478,2577,349,large,large
43,44,NoTr,17,2478,2577,808,large,large
44,45,Tr,13,2478,2577,1131,large,large
45,46,Tr,6,2478,2577,552,large,large
46,47,NoTr,6,2478,2577,2501,large,large
47,48,NoTr,1,1,1,2506,small,small
48,49,Tr,15,2478,2577,2395,large,large
49,50,Tr,12,2478,2577,547,large,large
50,51,Tr,16,2478,2577,723,large,large
51,52,NoTr,9,2478,2577,63,large,large
52,53,NoTr,23,2478,2577,1450,large,large
53,54,Tr,7,2478,2577,2630,large,large
54,55,NoTr,11,2478,2577,71,large,large
55,56,NoTr,9,2478,2577,1640,large,large
56,57,NoTr,5,2478,2577,2212,large,large
57,58,NoTr,7,2478,2577,1462,large,large
58,59,NoTr,10,2478,2577,62,large,large
59,60,NoTr,4,2478,2577,1973,large,large
60,61,NoTr,21,2478,2577,1806,large,large
61,62,NoTr,9,2478,2577,183,large,large
62,63,NoTr,13,2478,2577,379,large,large
63,64,NoTr,7,2478,2577,492,large,large
64,65,NoTr,12,2478,2577,69,large,large
65,66,NoTr,7,2478,2577,1284,large,large
66,67,NoTr,12,2478,2577,2553,large,large
67,68,NoTr,27,2478,2577,322,large,large
68,69,NoTr,21,2478,2577,154,large,large
69,70,NoTr,8,2478,2577,432,large,large
70,71,NoTr,10,2478,2577,1358,large,large
71,72,Tr,22,2478,2577,252,large,large
72,73,NoTr,2,2478,2577,2745,large,large
73,74,NoTr,17,2478,2577,1911,large,large
74,75,NoTr,23,2478,2577,573,large,large
75,76,Tr,14,2478,2577,1024,large,large
76,77,Tr,11,2478,2577,657,large,large
77,78,Tr,1,1,1,2933,small,small
78,79,Tr,5,2,2577,2827,small,large
79,80,NoTr,18,2478,2577,1430,large,large
80,81,NoTr,12,2478,2577,1449,large,large
81,82,NoTr,3,2478,2577,2478,large,large
82,83,NoTr,8,2478,2577,11,large,large
83,84,NoTr,18,2478,2577,1151,large,large
84,85,Tr,19,2478,2577,1958,large,large
85,86,NoTr,26,2478,2577,426,large,large
86,87,NoTr,7,2478,2577,2851,large,large
87,88,NoTr,7,2478,2577,498,large,large
88,89,NoTr,4,2478,2577,2897,large,large
89,90,NoTr,29,2478,2577,333,large,large
90,91,NoTr,18,2478,2577,358,large,large
91,92,NoTr,23,2478,2577,516,large,large
92,93,NoTr,29,2478,2577,954,large,large
